"HospitalCode","HospitalName","AddressLine1","AddressLine2","AddressLine2QF","AddressLine3","AddressLine3QF","AddressLine4","AddressLine4QF","Postcode","HealthBoard","HSCP","CouncilArea","IntermediateZone","DataZone","NAME","TOTPOP2011","RESPOP2011","HHCNT2011","STDAREAHA","STDAREAKM2","POPULATION","Month","Country","HBT","DepartmentType","NumberOfAttendancesAll","NumberWithin4HoursAll","NumberOver4HoursAll","NumberOfAttendancesEpisode","NumberWithin4HoursEpisode","NumberWithin4HoursEpisodeQF","NumberOver4HoursEpisode","NumberOver8HoursEpisode","NumberOver12HoursEpisode"
"G516H","West Glasgow","1053 Great Western Road","Glasgow","","","z","","z","G12 0YN","S08000031","S37000034","S12000049","S02001958","S01010412","Kelvinside and Jordanhill",5577,5491,2391,181.26453,1.812647,5717,201112,"S92000003","S08000031","Type 1",4884,4458,426,4884,4458,"",426,23,0
"G517H","Beatson West of Scotland Cancer Centre","1053 Great Western Road","Glasgow","","","z","","z","G12 0YN","S08000031","S37000034","S12000049","S02001958","S01010412","Kelvinside and Jordanhill",5577,5491,2391,181.26453,1.812647,5717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G598H","Arran Resource Centre","121 Orr Street","Bridgeton","","Glasgow","","","z","G40 2BJ","S08000031","S37000034","S12000049","S02001894","S01010055","Parkhead West and Barrowfield",5709,5492,2827,219.608018,2.196081,7465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G599H","Riverside Resource Centre","547 Dumbarton Road","Glasgow","","","z","","z","G11 6HU","S08000031","S37000034","S12000049","S02001954","S01010388","Glasgow Harbour and Partick South",4602,4594,2925,49.34278,0.493427,5311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G600H","Festival Business Park","150 Brand Street","Glasgow","","","z","","z","G51 1DH","S08000031","S37000034","S12000049","S02001860","S01009862","Ibrox East and Cessnock",2948,2839,1630,81.420078,0.814199,3322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G603H","Arndale Resource Centre","80/90 Kinfauns Drive","Glasgow","","","z","","z","G15 7TS","S08000031","S37000034","S12000049","S02001976","S01010499","Drumry East",3287,3204,1481,128.710931,1.28711,3317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G611H","Netherton","19 Blackwood Street","Glasgow","","","z","","z","G13 1AL","S08000031","S37000034","S12000049","S02001971","S01010472","Anniesland West",5995,5890,3097,129.898932,1.298991,6681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G612H","Rowanbank Clinic","Balornock Road","Glasgow","","","z","","z","G21 3UL","S08000031","S37000034","S12000049","S02001919","S01010198","Balornock",3585,3458,1408,117.648359,1.176483,3439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G613H","Skye House","133 Balornock Road","Glasgow","","","z","","z","G21 3UZ","S08000031","S37000034","S12000049","S02001922","S01010209","Springburn",4716,4577,2371,167.465085,1.674651,4539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001842",NA,"Darnley East",5033,4970,2123,100.699216,1.006994,5104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
