"HospitalCode","HospitalName","AddressLine1","AddressLine2","AddressLine2QF","AddressLine3","AddressLine3QF","AddressLine4","AddressLine4QF","Postcode","HealthBoard","HSCP","CouncilArea","IntermediateZone","DataZone","NAME","TOTPOP2011","RESPOP2011","HHCNT2011","STDAREAHA","STDAREAKM2","POPULATION","Month","Country","HBT","DepartmentType","NumberOfAttendancesAll","NumberWithin4HoursAll","NumberOver4HoursAll","NumberOfAttendancesEpisode","NumberWithin4HoursEpisode","NumberWithin4HoursEpisodeQF","NumberOver4HoursEpisode","NumberOver8HoursEpisode","NumberOver12HoursEpisode"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001929",NA,"Carntyne West and Haghill",5068,5068,2803,103.562594,1.03563,4771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001931",NA,"Gallowgate North and Bellgrove",4926,4132,2371,61.838573,0.618384,6354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001934",NA,"City Centre South",2832,2796,1811,117.01778,1.170175,3945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001935",NA,"Anderston",4420,4419,2464,59.800735,0.598007,5577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001936",NA,"Finnieston and Kelvinhaugh",6985,5775,3100,123.165722,1.231658,10513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001937",NA,"Woodlands",6449,6323,2914,54.078477,0.54079,7387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001938",NA,"Woodside",3416,3334,1961,69.61864,0.696187,3569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001903",NA,"Garrowhill East and Swinton",4298,4273,1627,135.961839,1.359619,4177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001904",NA,"Easterhouse East",3183,3105,1488,409.058726,4.090587,3156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001905",NA,"Central Easterhouse",2740,2740,1296,87.727933,0.877279,2382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001907",NA,"North Barlanark and Easterhouse South",3405,3366,1449,92.153009,0.921532,3581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001908",NA,"Barlanark",4904,4904,2212,229.897688,2.298983,4916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001909",NA,"Greenfield",5228,5162,2536,128.745249,1.287454,5139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001910",NA,"Shettleston North",4492,4492,2626,77.645997,0.77646,4772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001912",NA,"Old Shettleston and Parkhead North",3573,3465,1735,114.886267,1.148863,4848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001946",NA,"Summerston North",4031,3763,1802,157.868161,1.578682,3445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001947",NA,"Maryhill East",3295,3295,1711,76.098802,0.760989,3448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001948",NA,"Maryhill West",2742,2742,1425,52.904454,0.529043,3064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001950",NA,"Kelvindale",6079,5371,2544,115.113948,1.151139,6166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001951",NA,"North Kelvin",3795,3774,1863,48.785565,0.487856,4187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001952",NA,"Kelvingrove and University",5946,5732,2669,68.13281,0.681333,6546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001953",NA,"Hillhead",5715,5696,3315,95.863985,0.95864,8319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001955",NA,"Partick",3845,3830,2372,35.576266,0.355764,4024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001956",NA,"Partickhill and Hyndland",5517,5479,2935,54.10841,0.541086,5803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001957",NA,"Dowanhill",4338,4281,2176,46.309023,0.463092,4589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001959",NA,"Broomhill",4348,4317,2224,61.247157,0.612471,4639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001960",NA,"Victoria Park",2694,2684,1119,70.840075,0.708401,2705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001961",NA,"Whiteinch",3405,3405,1988,51.848369,0.518484,3742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001962",NA,"Scotstoun North and East",4321,4304,1915,66.7572,0.667572,4595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001963",NA,"Scotstoun South and West",3718,3718,1857,99.653897,0.996539,3637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001964",NA,"Yoker South",4571,4558,2344,96.545804,0.96546,4856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001965",NA,"Yoker North",3030,2850,1153,52.391859,0.523917,2970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001966",NA,"Knightswood West",2666,2666,1251,45.080045,0.450802,2551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001967",NA,"Knightswood East",3977,3878,2008,62.290175,0.622905,3921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001968",NA,"Knightswood Park West",3459,3459,1926,93.437919,0.934381,3354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001969",NA,"Knightswood Park East",3692,3692,1793,55.077788,0.550776,3870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001930",NA,"Dennistoun",4195,4183,2227,27.916265,0.279162,4454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001970",NA,"Anniesland East",4217,4171,2207,149.99151,1.499915,4242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001972",NA,"Blairdardie East",5683,5676,2818,97.739448,0.977395,5485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001973",NA,"Blairdardie West",2926,2926,1199,91.099311,0.910992,2975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001974",NA,"Drumchapel South",2623,2503,1096,82.379145,0.823793,2542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001975",NA,"Drumchapel North",3686,3686,1650,88.810851,0.888109,3354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001977",NA,"Drumry West",3464,3464,1480,89.801617,0.898018,3542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001939",NA,"Firhill",5667,5624,3088,58.998422,0.589983,6415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001940",NA,"Keppochhill",4616,4287,2327,91.978995,0.919793,4894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001941",NA,"Ruchill",6987,5757,3236,115.615228,1.15615,7402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001942",NA,"Possil Park",5812,5694,2872,186.040561,1.860405,6123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001943",NA,"Milton West",4190,4183,2018,132.357158,1.32357,4275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001944",NA,"Milton East",3554,3516,1642,64.173269,0.641734,3185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001945",NA,"Summerston Central and West",4093,4093,1848,765.759697,7.657596,4481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A101H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000015","Type 3",182,182,0,NA,NA,"z",NA,NA,NA
"A110H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000015","Type 3",37,37,0,NA,NA,"z",NA,NA,NA
"A111H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000015","Type 1",5566,5376,190,5566,5376,"",190,4,0
"A210H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000015","Type 1",3446,3117,329,3446,3117,"",329,23,3
"A216H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000015","Type 3",79,79,0,NA,NA,"z",NA,NA,NA
"B103H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000016","Type 3",7,7,0,NA,NA,"z",NA,NA,NA
"B105H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000016","Type 3",103,103,0,NA,NA,"z",NA,NA,NA
"B114H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000016","Type 3",33,33,0,NA,NA,"z",NA,NA,NA
"B118H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000016","Type 3",79,79,0,NA,NA,"z",NA,NA,NA
"B120H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000016","Type 1",1810,1766,44,1810,1766,"",44,0,0
"Y101H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000017","Type 3",26,26,0,NA,NA,"z",NA,NA,NA
"Y106H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000017","Type 3",44,44,0,NA,NA,"z",NA,NA,NA
"Y109H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000017","Type 3",4,4,0,NA,NA,"z",NA,NA,NA
"Y110H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000017","Type 3",19,19,0,NA,NA,"z",NA,NA,NA
"Y144H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000017","Type 1",849,821,28,849,821,"",28,3,1
"Y146H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000017","Type 1",2519,2414,105,2519,2414,"",105,1,0
"F704H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000029","Type 1",2488,2208,280,2488,2208,"",280,43,4
"F708H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000029","Type 3",119,119,0,NA,NA,"z",NA,NA,NA
"F709H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000029","Type 3",352,352,0,NA,NA,"z",NA,NA,NA
"F805H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000029","Type 1",4147,3320,827,4147,3320,"",827,225,42
"V201H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000019","Type 3",985,974,11,985,974,"",11,0,0
"V217H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000019","Type 1",4733,4385,348,4733,4385,"",348,5,0
"N101H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000020","Type 1",5474,5190,284,5474,5190,"",284,41,9
"N121H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000020","Type 1",1312,1306,6,1312,1306,"",6,0,0
"N151H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000020","Type 3",69,69,0,NA,NA,"z",NA,NA,NA
"N331H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000020","Type 3",30,30,0,NA,NA,"z",NA,NA,NA
"N332H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000020","Type 3",42,42,0,NA,NA,"z",NA,NA,NA
"N333H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000020","Type 3",1133,1128,5,NA,NA,"z",NA,NA,NA
"N334H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000020","Type 3",882,882,0,NA,NA,"z",NA,NA,NA
"N335H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000020","Type 3",268,268,0,NA,NA,"z",NA,NA,NA
"N336H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000020","Type 3",164,164,0,NA,NA,"z",NA,NA,NA
"N337H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000020","Type 3",271,271,0,NA,NA,"z",NA,NA,NA
"N411H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000020","Type 1",1986,1908,78,1986,1908,"",78,5,1
"N431H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000020","Type 3",67,67,0,NA,NA,"z",NA,NA,NA
"N432H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000020","Type 3",27,27,0,NA,NA,"z",NA,NA,NA
"N433H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000020","Type 3",90,90,0,NA,NA,"z",NA,NA,NA
"N434H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000020","Type 3",45,45,0,NA,NA,"z",NA,NA,NA
"N451H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000020","Type 3",20,20,0,NA,NA,"z",NA,NA,NA
"N494H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000020","Type 3",93,93,0,93,93,"",0,0,0
"C206H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000031","Type 3",1103,1059,44,1103,1059,"",44,1,0
"C313H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000031","Type 1",2519,2425,94,2519,2425,"",94,1,0
"C418H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000031","Type 1",6012,5621,391,6012,5621,"",391,6,0
"C106H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000022","Type 3",520,514,6,NA,NA,"z",NA,NA,NA
"C108H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000022","Type 3",83,82,1,NA,NA,"z",NA,NA,NA
"C113H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000022","Type 3",319,314,5,NA,NA,"z",NA,NA,NA
"C117J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000022","Type 3",35,34,1,NA,NA,"z",NA,NA,NA
"C121H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000022","Type 1",430,428,2,NA,NA,"z",NA,NA,NA
"C122H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000022","Type 3",368,357,11,NA,NA,"z",NA,NA,NA
"H101H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000022","Type 3",233,231,2,NA,NA,"z",NA,NA,NA
"H103H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000022","Type 1",560,558,2,560,558,"",2,0,0
"H106H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000022","Type 3",36,36,0,NA,NA,"z",NA,NA,NA
"H202H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000022","Type 1",2474,2410,64,2474,2410,"",64,2,0
"H208H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000022","Type 3",281,281,0,NA,NA,"z",NA,NA,NA
"H210H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000022","Type 3",77,77,0,NA,NA,"z",NA,NA,NA
"H212H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000022","Type 1",625,610,15,625,610,"",15,0,0
"H214H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000022","Type 3",306,306,0,NA,NA,"z",NA,NA,NA
"H215H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000022","Type 3",195,195,0,NA,NA,"z",NA,NA,NA
"H217H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000022","Type 3",144,144,0,NA,NA,"z",NA,NA,NA
"H219H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000022","Type 3",110,109,1,NA,NA,"z",NA,NA,NA
"H224H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000022","Type 3",292,288,4,NA,NA,"z",NA,NA,NA
"H227B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000022","Type 3",141,139,2,NA,NA,"z",NA,NA,NA
"L106H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000032","Type 1",5355,5061,294,5355,5061,"",294,8,0
"L206H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000032","Type 3",46,46,0,NA,NA,"z",NA,NA,NA
"L207H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000032","Type 3",83,83,0,NA,NA,"z",NA,NA,NA
"L302H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000032","Type 1",4597,4388,209,4597,4388,"",209,15,0
"L308H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000032","Type 1",5154,4893,261,5154,4893,"",261,17,2
"S102H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000024","Type 3",24,24,0,NA,NA,"z",NA,NA,NA
"S108H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000024","Type 3",119,119,0,NA,NA,"z",NA,NA,NA
"S116H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000024","Type 3",3051,2829,222,3051,2829,"",222,29,0
"S308H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201112,"S92000003","S08000024","Type 1",4155,3880,275,4155,3880,"",275,35,10
