OBJECTID,INTERZONE,NAME,TOTPOP2011,RESPOP2011,HHCNT2011,STDAREAHA,STDAREAKM2,POPULATION,FIVE_YEAR_POPULATION,ACC_POIS_PER_1000,ASSAULT_RATE_PER_1000,BURNS_PER_1000,FALLS_PER_1000,GYN_AND_OBS_PER_1000,HOME_ACCIDENTS_PER_1000,INJURY_OTHER_PER_1000,INTENTIONAL_SELF_HARM_PER_1000,MEDICAL_CONDITION_PER_1000,NEEDLESTICK_PER_1000,PERSONAL_ACTIVITY_PER_1000,PLAYING_PER_1000,PSYCHIATRIC_CONDITION_PER_1000,ROAD_TRAFFIC_ACCIDENT_PER_1000,RTA_PEDESTRIAN_PER_1000,SPORTING_INJURY_PER_1000,SURGICAL_CONDITION_PER_1000,UNSPECIFIED_PER_1000,NO_OF_TOP_5S_ADJUSTED,ACORN_GROUP,SHAPE__AREA,SHAPE__LENGTH,SHAPEAREA,SHAPELEN
15,S02001862,Kingston West and Dumbreck,3669,3665,1894,149.116171,1.49116,3637,18185,0.54990377,3.35441298,1.31976904,14.90239208,2.19961507,2.41957657,77.37145999,1.31976904,153.58812208,0.05499038,1.20978829,1.86967281,4.83915315,4.50921089,0.32994226,5.55402805,14.51745944,50.26120429,,,1491161.73899841,8232.59893873,1491161.7391145,8232.5989387356
16,S02001863,Pollokshields West,4744,4697,1831,103.501576,1.035018,4662,23310,0.17160017,1.58730159,1.2012012,13.98541399,2.44530245,4.2042042,80.56628057,0.38610039,123.98112398,0.08580009,0.72930073,3.3033033,1.8018018,5.53410553,0.34320034,10.03861004,11.06821107,42.64264264,,,1035015.75994873,8313.733557,1035015.759909,8313.73355699375
17,S02001864,Pollokshields East,4968,4939,1916,54.654881,0.546548,5037,25185,0.19853087,1.7073655,2.38237046,13.69863014,2.6206075,3.77208656,79.61087949,0.87353583,137.66130633,0.11911852,0.87353583,3.29561247,1.90589637,6.9485805,0.63529879,8.53682748,12.18979551,48.8385944,1,,546548.81669617,4042.71877571,546548.8167515,4042.71877570993
18,S02001865,Govanhill West,5429,5386,2736,30.929073,0.309291,5793,28965,0.41429311,3.83221129,2.34766097,12.67046435,3.48696703,4.2465044,78.16330054,1.86431901,156.05040566,0.06904885,0.86311065,3.27982047,4.1084067,6.21439669,0.37976869,5.38581046,12.73951321,59.83083031,1,,309290.69575501,3345.80619176,309290.6957935,3345.8061917642
19,S02001866,Govanhill East and Aikenhead,4081,4050,2110,54.800946,0.548011,4519,22595,0.30980305,3.8061518,1.77030316,18.23412259,3.00951538,4.55853065,92.45408276,1.23921222,163.66452755,0.2212879,1.10643948,3.71763665,3.49634875,8.14339456,0.44257579,5.22239434,13.01172826,64.66032308,1,,548009.47564697,4183.12383442,548009.475627,4183.12383441382
20,S02001867,Battlefield,4990,4974,2642,113.880488,1.138806,5074,25370,0.2364998,1.89199842,1.49783209,16.0819866,1.26133228,4.25699645,83.32676389,0.78833268,95.62475365,0.2364998,1.26133228,3.0350808,1.89199842,3.54749704,0.31533307,10.64249113,9.22349231,42.09696492,,,1138804.90951538,8294.97355104,1138804.909439,8294.97355104176
21,S02001847,Crookston North,3022,3018,1343,72.963418,0.729632,3106,15530,0.386349,3.34835802,1.03026401,16.67739858,2.89761751,3.67031552,102.38248551,1.22343851,190.92079845,0.386349,1.03026401,3.60592402,3.41274952,6.69671603,0.515132,8.24211204,18.35157759,57.11526079,1,,729634.20333862,4502.97764103,729634.203378,4502.97764102941
22,S02001848,Pollok South and West,5467,5467,2096,215.503026,2.15503,6341,31705,0.2838669,1.07238606,1.04084529,11.03926825,1.54549756,2.64942438,73.64768964,0.59927456,113.01056616,0.15770383,0.82005993,3.72181044,0.94622299,4.8888188,0.06308153,8.20059927,10.75540136,41.75997477,,,2155030.21000671,6945.34840143,2155030.21011013,6945.34840142914
23,S02001849,Pollok North and East,6145,5999,2515,197.646011,1.976461,5869,29345,0.27261884,3.85074118,1.49940365,24.56977339,2.52172431,3.16919407,119.3388993,1.80609985,228.21605043,0.23854149,0.88601125,3.91889589,5.52053161,6.88362583,0.23854149,7.19032203,20.51456807,68.63179417,1,,1976460.08990479,9863.35990651,1976460.08990486,9863.35990650988
24,S02001850,Cardonald South and East,3512,3410,1673,68.023333,0.680233,3192,15960,0.37593985,3.32080201,1.56641604,21.80451128,2.2556391,2.19298246,99.87468672,0.93984962,206.45363409,0.18796992,0.43859649,3.13283208,3.69674185,5.20050125,0.37593985,4.44862155,18.17042607,61.09022556,,,680233.31309509,5833.94925964,680233.313088,5833.94925963594
25,S02001851,Cardonald North,4271,4256,2046,57.431205,0.574312,4329,21645,0.6006006,2.91060291,1.43220143,19.21921922,3.04920305,3.0954031,95.77269577,1.8018018,203.14160314,0.18480018,0.73920074,3.6036036,3.6036036,4.52760453,0.23100023,4.98960499,19.21921922,57.05705706,,,574312.03105164,4972.81414436,574312.0310985,4972.81414436439
26,S02001852,Cardonald West and Central,5315,5270,2442,119.992763,1.19993,5162,25810,0.27121271,2.67338241,0.65865943,14.29678419,1.31731887,1.93723363,78.80666408,1.08485083,149.05075552,0.15497869,0.65865943,2.94459512,1.85974429,4.33940333,0.30995738,4.88182875,14.37427354,47.73343665,,,1199927.62098694,7948.29083068,1199927.62096557,7948.29083067949
27,S02001874,Carnwadric West,4634,4634,2189,70.122638,0.701226,4228,21140,0.56764428,4.44654683,1.79754021,17.21854305,2.93282876,5.86565752,109.36613056,3.26395459,169.82024598,0.04730369,1.56102176,2.93282876,5.91296121,8.2781457,0.33112583,8.42005676,14.52223273,60.35950804,1,,701226.41491699,4123.048192,701226.41486592,4123.04819200206
28,S02001875,Carnwadric East,3144,3144,1458,68.319538,0.683196,3127,15635,0.12791813,3.19795331,1.66293572,15.60601215,1.34314039,5.37256156,109.24208507,1.08730413,148.32107451,0,1.47105852,4.3492165,2.36648545,6.26798849,0.1918772,10.61720499,15.28621682,53.21394308,,,683195.36790466,5279.65657765,683195.367856785,5279.65657764787
29,S02001876,Newlands,5387,5383,2197,121.00687,1.210071,5278,26390,0.34103827,1.59151194,0.75786283,16.97612732,1.47783251,4.50928382,88.97309587,0.87154225,115.72565366,0.03789314,1.0989011,3.56195529,2.15990906,4.35771125,0.18946571,12.54262978,11.93633952,43.76657825,,,1210068.67280579,7956.19263363,1210068.67287144,7956.19263363439
30,S02001877,Merrylee and Millbrae,3435,3373,1436,80.968722,0.809685,3496,17480,0.22883295,1.6590389,1.25858124,20.30892449,1.48741419,6.12128146,94.50800915,0.74370709,114.3020595,0,1.37299771,3.37528604,2.23112128,4.46224256,0.22883295,12.70022883,11.15560641,45.19450801,1,,809687.23216248,6629.0169732,809687.2321515,6629.01697320018
31,S02001878,Muirend and Old Cathcart,4951,4951,2220,85.022175,0.85022,4622,23110,0.17308524,1.29813933,1.47122458,18.17395067,1.34141064,4.84638685,92.03807875,0.43271311,99.6105582,0,0.95196884,2.85590653,0.51925573,4.50021636,0.21635656,13.15447858,10.16875811,42.83859801,1,,850221.75567627,6030.6596289,850221.755594245,6030.65962889843
32,S02001879,Carmunnock North,2903,2903,1205,70.609065,0.706093,2871,14355,0.34831069,1.74155347,1.74155347,19.57506095,0.83594566,5.50330895,97.52699408,0.41797283,97.94496691,0,1.46290491,3.27412052,0.83594566,5.64263323,0.20898642,13.09648206,9.47405085,38.80181122,1,,706090.64064026,4376.23071748,706090.640663075,4376.23071748587
33,S02001880,Carmunnock South,3744,3710,1692,583.097447,5.830975,3737,18685,0.32111319,2.99705646,1.49852823,17.44715012,1.44500937,5.99411292,100.99009901,2.30131121,122.5046829,0.21407546,1.33797164,3.79983944,2.51538667,5.13781108,0.42815092,10.81081081,12.63045223,48.80920524,1,,5830974.43673706,18667.51210339,5830974.43655361,18667.5121033883
34,S02001881,Glenwood South,5159,5056,2487,95.976979,0.959772,4953,24765,0.56531395,4.32061377,1.53442358,21.56268928,2.34201494,6.13769433,130.50676358,2.1401171,180.8600848,0.1211387,1.33252574,4.64365031,4.2802342,6.98566525,0.40379568,12.92146174,16.55562285,68.92792247,3,Difficult Circumstances,959769.7855072,7823.59012601,959769.7854095,7823.59012600654
